YearStart,LocationDesc,Value,Class,Subclass
2011,Mississippi,39.9,Age (years),35 - 44
2011,Missouri,33.2,Age (years),35 - 44
2011,Montana,23.8,Age (years),35 - 44
2011,Nebraska,32.8,Age (years),35 - 44
2011,Nevada,27.4,Age (years),35 - 44
2011,New Hampshire,30.4,Age (years),35 - 44
2011,New Jersey,23.4,Age (years),35 - 44
2011,New Mexico,33.5,Age (years),35 - 44
2011,New York,25.9,Age (years),35 - 44
2011,North Carolina,30.7,Age (years),35 - 44
2011,North Dakota,35.1,Age (years),35 - 44
2011,Ohio,32.6,Age (years),35 - 44
2011,Oklahoma,40,Age (years),35 - 44
2011,Oregon,27.1,Age (years),35 - 44
2011,Pennsylvania,31.8,Age (years),35 - 44
2011,Rhode Island,29.9,Age (years),35 - 44
2011,South Carolina,37,Age (years),35 - 44
2011,South Dakota,36,Age (years),35 - 44
2011,Tennessee,35.8,Age (years),35 - 44
2011,Texas,31.6,Age (years),35 - 44
2011,Utah,28.3,Age (years),35 - 44
2011,Vermont,28.7,Age (years),35 - 44
2011,Virginia,30.3,Age (years),35 - 44
2011,Washington,32.9,Age (years),35 - 44
2011,West Virginia,35,Age (years),35 - 44
2011,Wisconsin,28.2,Age (years),35 - 44
2011,Wyoming,28.7,Age (years),35 - 44
2011,Alabama,38,Age (years),45 - 54
2011,Alaska,29.2,Age (years),45 - 54
2011,Arizona,29.6,Age (years),45 - 54
2011,Arkansas,36.4,Age (years),45 - 54
2011,California,27.6,Age (years),45 - 54
2011,Colorado,24.2,Age (years),45 - 54
2011,Connecticut,27,Age (years),45 - 54
2011,Delaware,31.4,Age (years),45 - 54
2011,District of Columbia,34.8,Age (years),45 - 54
2011,Florida,34.3,Age (years),45 - 54
2011,Georgia,33.7,Age (years),45 - 54
2011,Hawaii,25,Age (years),45 - 54
2011,Idaho,32,Age (years),45 - 54
2011,Illinois,32.8,Age (years),45 - 54
2011,Indiana,35.8,Age (years),45 - 54
2011,Iowa,35.6,Age (years),45 - 54
2011,Kansas,34.8,Age (years),45 - 54
2011,Kentucky,34.8,Age (years),45 - 54
2011,Louisiana,39.7,Age (years),45 - 54
2011,Maine,32.4,Age (years),45 - 54
2011,Maryland,31.9,Age (years),45 - 54
2011,Massachusetts,26.1,Age (years),45 - 54
2011,Michigan,34.7,Age (years),45 - 54
2011,Minnesota,27.9,Age (years),45 - 54
2011,Mississippi,40.8,Age (years),45 - 54
2011,Missouri,37.7,Age (years),45 - 54
2011,Montana,31.7,Age (years),45 - 54
2011,Nebraska,31.6,Age (years),45 - 54
2011,Nevada,27.5,Age (years),45 - 54
2011,New Hampshire,27.4,Age (years),45 - 54
2011,New Jersey,27.5,Age (years),45 - 54
2011,New Mexico,31.1,Age (years),45 - 54
2011,New York,29.8,Age (years),45 - 54
2011,North Carolina,34.9,Age (years),45 - 54
2011,North Dakota,34.1,Age (years),45 - 54
2011,Ohio,33.9,Age (years),45 - 54
2011,Oklahoma,32.7,Age (years),45 - 54
2011,Oregon,31.8,Age (years),45 - 54
2011,Pennsylvania,33.9,Age (years),45 - 54
2011,Rhode Island,28.9,Age (years),45 - 54
2011,South Carolina,38.9,Age (years),45 - 54
2011,South Dakota,33.3,Age (years),45 - 54
2011,Tennessee,37.9,Age (years),45 - 54
2011,Texas,37,Age (years),45 - 54
2011,Utah,28.1,Age (years),45 - 54
2011,Vermont,28.7,Age (years),45 - 54
2011,Virginia,37.1,Age (years),45 - 54
2011,Washington,29.3,Age (years),45 - 54
2011,West Virginia,39.7,Age (years),45 - 54
2011,Wisconsin,35.6,Age (years),45 - 54
2011,Wyoming,29.3,Age (years),45 - 54
2011,Alabama,36.4,Age (years),55 - 64
2011,Alaska,33.4,Age (years),55 - 64
2011,Arizona,29.9,Age (years),55 - 64
2011,Arkansas,36.9,Age (years),55 - 64
2011,California,27.6,Age (years),55 - 64
2011,Colorado,24.2,Age (years),55 - 64
2011,Connecticut,28.6,Age (years),55 - 64
2011,Delaware,36.1,Age (years),55 - 64
2011,District of Columbia,30.6,Age (years),55 - 64
2011,Florida,31.2,Age (years),55 - 64
2011,Georgia,34.4,Age (years),55 - 64
2011,Hawaii,22.8,Age (years),55 - 64
2011,Idaho,33,Age (years),55 - 64
2011,Illinois,33.1,Age (years),55 - 64
2011,Indiana,36.7,Age (years),55 - 64
2011,Iowa,35.6,Age (years),55 - 64
2011,Kansas,36,Age (years),55 - 64
2011,Kentucky,36.4,Age (years),55 - 64
2011,Louisiana,41,Age (years),55 - 64
2011,Maine,32.7,Age (years),55 - 64
2011,Maryland,32.8,Age (years),55 - 64
2011,Massachusetts,28,Age (years),55 - 64
2011,Michigan,38,Age (years),55 - 64
2011,Minnesota,32.2,Age (years),55 - 64
2011,Mississippi,37.5,Age (years),55 - 64
2011,Missouri,37.4,Age (years),55 - 64
2011,Montana,27.9,Age (years),55 - 64
2011,Nebraska,35.1,Age (years),55 - 64
2011,Nevada,27.8,Age (years),55 - 64
2011,New Hampshire,32.4,Age (years),55 - 64
2011,New Jersey,28.2,Age (years),55 - 64
2011,New Mexico,29.4,Age (years),55 - 64
2011,New York,30.5,Age (years),55 - 64
2011,North Carolina,31.2,Age (years),55 - 64
2011,North Dakota,36.2,Age (years),55 - 64
2011,Ohio,34.4,Age (years),55 - 64
2011,Oklahoma,37.4,Age (years),55 - 64
2011,Oregon,29.8,Age (years),55 - 64
2011,Pennsylvania,33.6,Age (years),55 - 64
2011,Rhode Island,30,Age (years),55 - 64
2011,South Carolina,35.5,Age (years),55 - 64
2011,South Dakota,34.9,Age (years),55 - 64
2011,Tennessee,32.5,Age (years),55 - 64
2011,Texas,36.5,Age (years),55 - 64
2011,Utah,32.7,Age (years),55 - 64
2011,Vermont,28.9,Age (years),55 - 64
2011,Virginia,36.5,Age (years),55 - 64
2011,Washington,31.4,Age (years),55 - 64
2011,West Virginia,37.9,Age (years),55 - 64
2011,Wisconsin,32.9,Age (years),55 - 64
2011,Wyoming,31.8,Age (years),55 - 64
2011,Alabama,27.1,Age (years),65 or older
2011,Alaska,29.3,Age (years),65 or older
2011,Arizona,22.6,Age (years),65 or older
2011,Arkansas,26.1,Age (years),65 or older
2011,California,21.2,Age (years),65 or older
2011,Colorado,20.2,Age (years),65 or older
2011,Connecticut,23.7,Age (years),65 or older
2011,Delaware,28.9,Age (years),65 or older
2011,District of Columbia,26.3,Age (years),65 or older
2011,Florida,23.4,Age (years),65 or older
2011,Georgia,25.4,Age (years),65 or older
2011,Hawaii,16.9,Age (years),65 or older
2011,Idaho,24.3,Age (years),65 or older
2011,Illinois,29.1,Age (years),65 or older
2011,Indiana,26.6,Age (years),65 or older
2011,Iowa,29.1,Age (years),65 or older
2011,Kansas,26.3,Age (years),65 or older
2011,Kentucky,25.1,Age (years),65 or older
2011,Louisiana,28.7,Age (years),65 or older
2011,Maine,24.5,Age (years),65 or older
2011,Maryland,26.1,Age (years),65 or older
2011,Massachusetts,22.8,Age (years),65 or older
2011,Michigan,29.5,Age (years),65 or older
2011,Minnesota,23.7,Age (years),65 or older
2011,Mississippi,27.9,Age (years),65 or older
2011,Missouri,26.2,Age (years),65 or older
2011,Montana,21.9,Age (years),65 or older
2011,Nebraska,27.2,Age (years),65 or older
2011,Nevada,18.1,Age (years),65 or older
2011,New Hampshire,24.8,Age (years),65 or older
2011,New Jersey,25,Age (years),65 or older
2011,New Mexico,19.9,Age (years),65 or older
2011,New York,25.9,Age (years),65 or older
2011,North Carolina,25.7,Age (years),65 or older
2011,North Dakota,24.4,Age (years),65 or older
2011,Ohio,28.7,Age (years),65 or older
2011,Oklahoma,26.3,Age (years),65 or older
2011,Oregon,24.6,Age (years),65 or older
2011,Pennsylvania,27.9,Age (years),65 or older
2011,Rhode Island,22.2,Age (years),65 or older
2011,South Carolina,25.2,Age (years),65 or older
2011,South Dakota,23.8,Age (years),65 or older
2011,Tennessee,25.2,Age (years),65 or older
2011,Texas,26.3,Age (years),65 or older
2011,Utah,24.6,Age (years),65 or older
2011,Vermont,23.8,Age (years),65 or older
2011,Virginia,26.8,Age (years),65 or older
2011,Washington,25.6,Age (years),65 or older
2011,West Virginia,27.7,Age (years),65 or older
2011,Wisconsin,26.9,Age (years),65 or older
2011,Wyoming,20.4,Age (years),65 or older
2011,Alabama,26.4,Education,College graduate
2011,Alaska,22.1,Education,College graduate
2011,Arizona,17.4,Education,College graduate
2011,Arkansas,26.4,Education,College graduate
2011,California,15.3,Education,College graduate
2011,Colorado,15.6,Education,College graduate
2011,Connecticut,16.7,Education,College graduate
2011,Delaware,24.1,Education,College graduate
2011,District of Columbia,11.9,Education,College graduate
2011,Florida,21.1,Education,College graduate
2011,Georgia,21.4,Education,College graduate
2011,Hawaii,15.2,Education,College graduate
2011,Idaho,21.5,Education,College graduate
2011,Illinois,23.4,Education,College graduate
2011,Indiana,23.5,Education,College graduate
2011,Iowa,23.2,Education,College graduate
2011,Kansas,24.9,Education,College graduate
2011,Kentucky,24.4,Education,College graduate
2011,Louisiana,26.6,Education,College graduate
2011,Maine,20.2,Education,College graduate
2011,Maryland,21.3,Education,College graduate
2011,Massachusetts,17.3,Education,College graduate
2011,Michigan,26.6,Education,College graduate
2011,Minnesota,20.1,Education,College graduate
2011,Mississippi,31.2,Education,College graduate
2011,Missouri,26.4,Education,College graduate
2011,Montana,20.2,Education,College graduate
2011,Nebraska,24.1,Education,College graduate
2011,Nevada,19.4,Education,College graduate
2011,New Hampshire,19.6,Education,College graduate
2011,New Jersey,17.4,Education,College graduate
2011,New Mexico,19.4,Education,College graduate
2011,New York,18.2,Education,College graduate
2011,North Carolina,22.2,Education,College graduate
2011,North Dakota,26.5,Education,College graduate
2011,Ohio,22,Education,College graduate
2011,Oklahoma,26.5,Education,College graduate
2011,Oregon,17.1,Education,College graduate
2011,Pennsylvania,21.5,Education,College graduate
2011,Rhode Island,19.3,Education,College graduate
2011,South Carolina,25.3,Education,College graduate
2011,South Dakota,26.1,Education,College graduate
2011,Tennessee,22,Education,College graduate
2011,Texas,23.5,Education,College graduate
2011,Utah,20.2,Education,College graduate
2011,Vermont,17.4,Education,College graduate
2011,Virginia,22.8,Education,College graduate
2011,Washington,18.8,Education,College graduate
2011,West Virginia,29.6,Education,College graduate
2011,Wisconsin,19.6,Education,College graduate
2011,Wyoming,20.5,Education,College graduate
2011,Alabama,32.8,Education,High school graduate
2011,Alaska,33.1,Education,High school graduate
2011,Arizona,25.2,Education,High school graduate
2011,Arkansas,33,Education,High school graduate
2011,California,26.4,Education,High school graduate
2011,Colorado,23.5,Education,High school graduate
2011,Connecticut,29,Education,High school graduate
2011,Delaware,27.9,Education,High school graduate
2011,District of Columbia,33,Education,High school graduate
2011,Florida,27.5,Education,High school graduate
2011,Georgia,29.5,Education,High school graduate
2011,Hawaii,24.9,Education,High school graduate
2011,Idaho,28.2,Education,High school graduate
2011,Illinois,29,Education,High school graduate
2011,Indiana,32.3,Education,High school graduate
2011,Iowa,33,Education,High school graduate
2011,Kansas,31.5,Education,High school graduate
2011,Kentucky,31.4,Education,High school graduate
2011,Louisiana,33.6,Education,High school graduate
2011,Maine,31.4,Education,High school graduate
2011,Maryland,32.6,Education,High school graduate
2011,Massachusetts,25.2,Education,High school graduate
2011,Michigan,32.1,Education,High school graduate
2011,Minnesota,28.9,Education,High school graduate
2011,Mississippi,34.7,Education,High school graduate
2011,Missouri,30.3,Education,High school graduate
2011,Montana,27.8,Education,High school graduate
2011,Nebraska,30.3,Education,High school graduate
2011,Nevada,23.1,Education,High school graduate
2011,New Hampshire,29.3,Education,High school graduate
2011,New Jersey,26.9,Education,High school graduate
2011,New Mexico,27.8,Education,High school graduate
2011,New York,26.9,Education,High school graduate
2011,North Carolina,31.1,Education,High school graduate
2011,North Dakota,28,Education,High school graduate
2011,Ohio,32.1,Education,High school graduate
2011,Oklahoma,33.8,Education,High school graduate
2011,Oregon,27.8,Education,High school graduate
2011,Pennsylvania,31.6,Education,High school graduate
2011,Rhode Island,27,Education,High school graduate
2011,South Carolina,31.8,Education,High school graduate
2011,South Dakota,29.7,Education,High school graduate
2011,Tennessee,32.4,Education,High school graduate
2011,Texas,32.5,Education,High school graduate
2011,Utah,24.5,Education,High school graduate
2011,Vermont,33.1,Education,High school graduate
2011,Virginia,32.4,Education,High school graduate
2011,Washington,29.3,Education,High school graduate
2011,West Virginia,33.3,Education,High school graduate
2011,Wisconsin,30.3,Education,High school graduate
2011,Wyoming,26.6,Education,High school graduate
2011,Alabama,33.6,Education,Less than high school
2011,Alaska,28.8,Education,Less than high school
2011,Arizona,36.2,Education,Less than high school
2011,Arkansas,31.1,Education,Less than high school
2011,California,32.9,Education,Less than high school
2011,Colorado,25.7,Education,Less than high school
2011,Connecticut,31.2,Education,Less than high school
2011,Delaware,35.2,Education,Less than high school
2011,District of Columbia,39.7,Education,Less than high school
2011,Florida,32.7,Education,Less than high school
2011,Georgia,34.1,Education,Less than high school
2011,Hawaii,27.1,Education,Less than high school
2011,Idaho,32.8,Education,Less than high school
2011,Illinois,29,Education,Less than high school
2011,Indiana,36.2,Education,Less than high school
2011,Iowa,28.2,Education,Less than high school
2011,Kansas,30.6,Education,Less than high school
2011,Kentucky,34,Education,Less than high school
2011,Louisiana,36.3,Education,Less than high school
2011,Maine,32.2,Education,Less than high school
2011,Maryland,35.2,Education,Less than high school
2011,Massachusetts,31.1,Education,Less than high school
2011,Michigan,33.8,Education,Less than high school
2011,Minnesota,28.2,Education,Less than high school
2011,Mississippi,35.4,Education,Less than high school
2011,Missouri,33.8,Education,Less than high school
2011,Montana,23.5,Education,Less than high school
2011,Nebraska,28.1,Education,Less than high school
2011,Nevada,27.6,Education,Less than high school
2011,New Hampshire,28.4,Education,Less than high school
2011,New Jersey,29.4,Education,Less than high school
2011,New Mexico,31.9,Education,Less than high school
2011,New York,27.5,Education,Less than high school
2011,North Carolina,31.9,Education,Less than high school
2011,North Dakota,25.1,Education,Less than high school
2011,Ohio,34.6,Education,Less than high school
2011,Oklahoma,31,Education,Less than high school
2011,Oregon,31.4,Education,Less than high school
2011,Pennsylvania,30.8,Education,Less than high school
2011,Rhode Island,28.7,Education,Less than high school
2011,South Carolina,32.7,Education,Less than high school
2011,South Dakota,30.7,Education,Less than high school
2011,Tennessee,34.1,Education,Less than high school
2011,Texas,33.6,Education,Less than high school
2011,Utah,31.2,Education,Less than high school
2011,Vermont,26.7,Education,Less than high school
2011,Virginia,38.1,Education,Less than high school
2011,Washington,28.2,Education,Less than high school
2011,West Virginia,32.7,Education,Less than high school
2011,Wisconsin,40.5,Education,Less than high school
2011,Wyoming,28,Education,Less than high school
2011,Alabama,33.8,Education,Some college or technical school
2011,Alaska,25.8,Education,Some college or technical school
2011,Arizona,25.9,Education,Some college or technical school
2011,Arkansas,31,Education,Some college or technical school
2011,California,24,Education,Some college or technical school
2011,Colorado,22.3,Education,Some college or technical school
2011,Connecticut,26.4,Education,Some college or technical school
2011,Delaware,30.9,Education,Some college or technical school
2011,District of Columbia,31,Education,Some college or technical school
2011,Florida,27.4,Education,Some college or technical school
2011,Georgia,28.6,Education,Some college or technical school
2011,Hawaii,22.8,Education,Some college or technical school
2011,Idaho,27.6,Education,Some college or technical school
2011,Illinois,28,Education,Some college or technical school
2011,Indiana,31.8,Education,Some college or technical school
2011,Iowa,29,Education,Some college or technical school
2011,Kansas,31.3,Education,Some college or technical school
2011,Kentucky,30.6,Education,Some college or technical school
2011,Louisiana,35.8,Education,Some college or technical school
2011,Maine,28.4,Education,Some college or technical school
2011,Maryland,29.3,Education,Some college or technical school
2011,Massachusetts,24.1,Education,Some college or technical school
2011,Michigan,32.8,Education,Some college or technical school
2011,Minnesota,27.2,Education,Some college or technical school
2011,Mississippi,36.9,Education,Some college or technical school
2011,Missouri,31.5,Education,Some college or technical school
2011,Montana,25.3,Education,Some college or technical school
2011,Nebraska,30,Education,Some college or technical school
2011,Nevada,27.4,Education,Some college or technical school
2011,New Hampshire,29.1,Education,Some college or technical school
2011,New Jersey,25.1,Education,Some college or technical school
2011,New Mexico,27,Education,Some college or technical school
2011,New York,27.1,Education,Some college or technical school
2011,North Carolina,31.4,Education,Some college or technical school
2011,North Dakota,29.2,Education,Some college or technical school
2011,Ohio,30.5,Education,Some college or technical school
2011,Oklahoma,31.3,Education,Some college or technical school
2011,Oregon,31.4,Education,Some college or technical school
2011,Pennsylvania,30,Education,Some college or technical school
2011,Rhode Island,27.9,Education,Some college or technical school
2011,South Carolina,32.9,Education,Some college or technical school
2011,South Dakota,27.2,Education,Some college or technical school
2011,Tennessee,28,Education,Some college or technical school
2011,Texas,32.2,Education,Some college or technical school
2011,Utah,25.4,Education,Some college or technical school
2011,Vermont,25.1,Education,Some college or technical school
2011,Virginia,29.2,Education,Some college or technical school
2011,Washington,30.2,Education,Some college or technical school
2011,West Virginia,32.8,Education,Some college or technical school
2011,Wisconsin,26.9,Education,Some college or technical school
2011,Wyoming,25.4,Education,Some college or technical school
2011,Alabama,31.8,Gender,Female
2011,Alaska,26.7,Gender,Female
2011,Arizona,25.8,Gender,Female
2011,Arkansas,31.2,Gender,Female
2011,California,24.5,Gender,Female
2011,Colorado,20.3,Gender,Female
2011,Connecticut,23.6,Gender,Female
2011,Delaware,28.6,Gender,Female
2011,District of Columbia,28.4,Gender,Female
2011,Florida,25.6,Gender,Female
2011,Georgia,29.3,Gender,Female
2011,Hawaii,19.2,Gender,Female
2011,Idaho,27.9,Gender,Female
2011,Illinois,26.5,Gender,Female
2011,Indiana,30.8,Gender,Female
2011,Iowa,27.4,Gender,Female
2011,Kansas,29.1,Gender,Female
2011,Kentucky,31.1,Gender,Female
2011,Louisiana,33.8,Gender,Female
2011,Maine,27.6,Gender,Female
2011,Maryland,27.9,Gender,Female
2011,Massachusetts,21.4,Gender,Female
2011,Michigan,30.7,Gender,Female
2011,Minnesota,22.9,Gender,Female
2011,Mississippi,37.3,Gender,Female
2011,Missouri,30.7,Gender,Female
2011,Montana,23.3,Gender,Female
2011,Nebraska,27.6,Gender,Female
2011,Nevada,23.4,Gender,Female
2011,New Hampshire,24.1,Gender,Female
2011,New Jersey,21.8,Gender,Female
2011,New Mexico,26.3,Gender,Female
2011,New York,23.7,Gender,Female
2011,North Carolina,30,Gender,Female
2011,North Dakota,25.4,Gender,Female
2011,Ohio,27.6,Gender,Female
2011,Oklahoma,31.5,Gender,Female
2011,Oregon,27.2,Gender,Female
2011,Pennsylvania,27.6,Gender,Female
2011,Rhode Island,23.3,Gender,Female
2011,South Carolina,33,Gender,Female
2011,South Dakota,26.3,Gender,Female
2011,Tennessee,30.4,Gender,Female
2011,Texas,29.9,Gender,Female
2011,Utah,22.9,Gender,Female
2011,Vermont,23.6,Gender,Female
2011,Virginia,28.6,Gender,Female
2011,Washington,24.9,Gender,Female
2011,West Virginia,34.2,Gender,Female
2011,Wisconsin,26.1,Gender,Female
2011,Wyoming,23.8,Gender,Female
2011,Alabama,32.3,Gender,Male
2011,Alaska,28,Gender,Male
2011,Arizona,24.4,Gender,Male
2011,Arkansas,30.7,Gender,Male
2011,California,23.1,Gender,Male
2011,Colorado,21.1,Gender,Male
2011,Connecticut,25.4,Gender,Male
2011,Delaware,29,Gender,Male
2011,District of Columbia,18.6,Gender,Male
2011,Florida,27.7,Gender,Male
2011,Georgia,26.7,Gender,Male
2011,Hawaii,24.4,Gender,Male
2011,Idaho,26.2,Gender,Male
2011,Illinois,27.7,Gender,Male
2011,Indiana,30.9,Gender,Male
2011,Iowa,30.4,Gender,Male
2011,Kansas,30,Gender,Male
2011,Kentucky,29.6,Gender,Male
2011,Louisiana,33,Gender,Male
2011,Maine,28.1,Gender,Male
2011,Maryland,28.7,Gender,Male
2011,Massachusetts,24.1,Gender,Male
2011,Michigan,31.9,Gender,Male
2011,Minnesota,28.4,Gender,Male
2011,Mississippi,32.4,Gender,Male
2011,Missouri,29.8,Gender,Male
2011,Montana,25.8,Gender,Male
2011,Nebraska,29.2,Gender,Male
2011,Nevada,25.5,Gender,Male
2011,New Hampshire,28.3,Gender,Male
2011,New Jersey,25.6,Gender,Male
2011,New Mexico,26.3,Gender,Male
2011,New York,25.3,Gender,Male
2011,North Carolina,28.3,Gender,Male
2011,North Dakota,30,Gender,Male
2011,Ohio,31.6,Gender,Male
2011,Oklahoma,30.6,Gender,Male
2011,Oregon,26.3,Gender,Male
2011,Pennsylvania,29.5,Gender,Male
2011,Rhode Island,27.6,Gender,Male
2011,South Carolina,28.6,Gender,Male
2011,South Dakota,29.9,Gender,Male
2011,Tennessee,28,Gender,Male
2011,Texas,30.9,Gender,Male
2011,Utah,25.8,Gender,Male
2011,Vermont,27.3,Gender,Male
2011,Virginia,29.7,Gender,Male
2011,Washington,27.9,Gender,Male
2011,West Virginia,30.7,Gender,Male
2011,Wisconsin,29.3,Gender,Male
2011,Wyoming,26.1,Gender,Male
2011,Alabama,34.8,Income,"$15,000 - $24,999"
2011,Alaska,30.2,Income,"$15,000 - $24,999"
2011,Arizona,32.3,Income,"$15,000 - $24,999"
2011,Arkansas,30.4,Income,"$15,000 - $24,999"
2011,California,30.1,Income,"$15,000 - $24,999"
2011,Colorado,24.2,Income,"$15,000 - $24,999"
2011,Connecticut,28.7,Income,"$15,000 - $24,999"
2011,Delaware,35.6,Income,"$15,000 - $24,999"
2011,District of Columbia,35.3,Income,"$15,000 - $24,999"
2011,Florida,30.2,Income,"$15,000 - $24,999"
2011,Georgia,33.2,Income,"$15,000 - $24,999"
2011,Hawaii,21.2,Income,"$15,000 - $24,999"
2011,Idaho,29,Income,"$15,000 - $24,999"
2011,Illinois,31.4,Income,"$15,000 - $24,999"
2011,Indiana,35.3,Income,"$15,000 - $24,999"
2011,Iowa,33.8,Income,"$15,000 - $24,999"
2011,Kansas,31.8,Income,"$15,000 - $24,999"
2011,Kentucky,35.6,Income,"$15,000 - $24,999"
2011,Louisiana,36.7,Income,"$15,000 - $24,999"
