LocationDesc,YearStart,Data_Value,Category 
Alaska,2013,33.6,American Indian/Alaska Native
Alaska,2014,29.3,Male
Alaska,2014,30.2,Female
Alaska,2014,DNE,Hawaiian/Pacific Islander
Alaska,2014,33.8,American Indian/Alaska Native
Alaska,2014,34,2 or more races
Alaska,2014,DNE,Other
Alaska,2013,DNE,Other
Alaska,2013,23.2,2 or more races
Alaska,2014,14,18 - 24
Alaska,2012,27.3,"$35,000 - $49,999"
Alaska,2011,26.7,Female
Alaska,2014,17.8,Asian
Alaska,2014,34.5,55 - 64
Alaska,2014,42.3,Non-Hispanic Black
Alaska,2013,31.7,Hispanic
Alaska,2014,28.6,Non-Hispanic White
Alaska,2014,18.8,Data not reported
Alaska,2014,29.3,"$75,000 or greater"
Alaska,2014,30.2,"$50,000 - $74,999"
Alaska,2014,36,"$35,000 - $49,999"
Alaska,2014,32.9,"$25,000 - $34,999"
Alaska,2014,29.6,"$15,000 - $24,999"
Alaska,2014,29.6,65-100
Alaska,2014,35.2,45 - 54
Alaska,2014,33.6,35 - 44
Alaska,2014,28,25 - 34
Alaska,2013,DNE,Hawaiian/Pacific Islander
Alaska,2013,30.3,Asian
Alaska,2014,29.6,Hispanic
Alaska,2015,29,"$50,000 - $74,999"
Alaska,2011,28,Male
Alaska,2015,39.3,Non-Hispanic Black
Alaska,2012,30.3,35 - 44
Alaska,2015,39.1,American Indian/Alaska Native
Alaska,2015,29.1,2 or more races
Alaska,2015,28.1,Non-Hispanic White
Alaska,2015,18.5,Asian
Alaska,2015,DNE,Other
Alaska,2015,DNE,Hawaiian/Pacific Islander
Alaska,2015,40.1,"Less than $15,000"
Alaska,2015,31.7,"$35,000 - $49,999"
Alaska,2011,19.8,18 - 24
Alaska,2015,30.8,"$75,000 or greater"
Alaska,2015,33.1,35 - 44
Alaska,2015,26,"$25,000 - $34,999"
Alaska,2015,21.9,Data not reported
Alaska,2015,30.5,Female
Alaska,2015,29.3,Male
Alaska,2015,34.7,65-100
Alaska,2015,30.8,45 - 54
Alaska,2015,30.6,55 - 64
Alaska,2015,29.8,25 - 34
Alaska,2015,19.2,18 - 24
Alaska,2012,24,"$25,000 - $34,999"
Alaska,2015,24.1,Hispanic
Alaska,2011,23.5,25 - 34
Alaska,2015,31,"$15,000 - $24,999"
Alaska,2012,26.8,65-100
Alaska,2011,29.5,35 - 44
Alaska,2012,24.2,"$15,000 - $24,999"
Alaska,2012,29.4,"Less than $15,000"
Alaska,2012,9,18 - 24
Alaska,2012,25.4,Female
Alaska,2012,25.9,Male
Alaska,2012,20.1,25 - 34
Alaska,2012,32.3,55 - 64
Alaska,2012,32.6,45 - 54
Alaska,2011,35.5,Other
Alaska,2011,23.3,2 or more races
Alaska,2011,30.9,American Indian/Alaska Native
Alaska,2011,DNE,Hawaiian/Pacific Islander
Alaska,2011,DNE,Asian
Alaska,2011,30.2,"$15,000 - $24,999"
Alaska,2011,29.2,45 - 54
Alaska,2011,33.4,55 - 64
Alaska,2011,31.5,Hispanic
Alaska,2011,33.6,"Less than $15,000"
Alaska,2011,32.2,"$25,000 - $34,999"
Alaska,2011,24.5,"$35,000 - $49,999"
Alaska,2011,27.8,"$50,000 - $74,999"
Alaska,2011,26.9,"$75,000 or greater"
Alaska,2011,22.7,Data not reported
Alaska,2011,25.9,Non-Hispanic White
Alaska,2011,DNE,Non-Hispanic Black
Alaska,2011,29.3,65-100
Arizona,2014,26.4,Non-Hispanic White
Arizona,2014,16.6,18 - 24
Arizona,2014,33.3,35 - 44
Arizona,2014,33.5,55 - 64
Arizona,2014,24.7,65-100
Arizona,2014,33.6,"Less than $15,000"
Arizona,2014,34.6,"$15,000 - $24,999"
Arizona,2014,28.4,"$25,000 - $34,999"
Arizona,2014,31.4,"$35,000 - $49,999"
Arizona,2014,25.9,"$50,000 - $74,999"
Arizona,2014,6.6,Asian
Arizona,2014,23.2,Data not reported
Arizona,2013,DNE,Asian
Arizona,2014,26.5,"$75,000 or greater"
Arizona,2013,22,"$35,000 - $49,999"
Arizona,2014,28.8,Female
Arizona,2014,29.1,Male
Arizona,2013,23.5,Other
Arizona,2013,14.8,2 or more races
Arizona,2013,22.5,"$75,000 or greater"
Arizona,2013,DNE,Hawaiian/Pacific Islander
Arizona,2013,36.7,Hispanic
Arizona,2013,34.5,Non-Hispanic Black
Arizona,2013,21.7,Non-Hispanic White
Arizona,2013,27.2,Data not reported
Arizona,2014,36.7,Non-Hispanic Black
Arizona,2013,26.3,"$50,000 - $74,999"
Arizona,2015,33.5,"$15,000 - $24,999"
Arizona,2013,53,American Indian/Alaska Native
Arizona,2015,34.8,"Less than $15,000"
Arizona,2013,25.5,"$25,000 - $34,999"
Arizona,2014,29.1,25 - 34
Arizona,2015,33.4,55 - 64
Arizona,2015,17.5,18 - 24
Arizona,2015,24.2,65-100
Arizona,2015,29.5,25 - 34
Arizona,2015,32.1,45 - 54
Arizona,2015,27.1,Female
Arizona,2015,29.6,Male
Arizona,2015,23.6,Data not reported
Arizona,2015,24.8,"$75,000 or greater"
Arizona,2015,28,"$25,000 - $34,999"
Arizona,2015,DNE,Hawaiian/Pacific Islander
Arizona,2015,30.5,"$50,000 - $74,999"
Arizona,2014,34,Hispanic
Arizona,2015,33.4,35 - 44
Arizona,2015,8.5,Asian
Arizona,2015,23.8,Other
Arizona,2015,25.4,Non-Hispanic White
Arizona,2015,27.6,2 or more races
Arizona,2015,31.5,Non-Hispanic Black
Arizona,2015,35.9,Hispanic
Arizona,2015,42.8,American Indian/Alaska Native
Arizona,2014,26.1,Other
Arizona,2014,29.5,2 or more races
Arizona,2014,44.6,American Indian/Alaska Native
Arizona,2014,DNE,Hawaiian/Pacific Islander
Arizona,2015,28.4,"$35,000 - $49,999"
Arizona,2011,19.7,"$75,000 or greater"
Arizona,2012,30.4,35 - 44
Arizona,2012,29.2,25 - 34
Arizona,2012,16.2,18 - 24
Arizona,2012,25.6,Female
Arizona,2012,26.4,Male
Arizona,2011,DNE,Other
Arizona,2011,20.8,2 or more races
Arizona,2011,34.2,American Indian/Alaska Native
Arizona,2011,DNE,Hawaiian/Pacific Islander
Arizona,2011,13,Asian
Arizona,2011,33.8,Hispanic
Arizona,2011,26.8,Non-Hispanic Black
Arizona,2012,27.6,45 - 54
Arizona,2011,19.6,Data not reported
Arizona,2011,26.5,"$25,000 - $34,999"
Arizona,2011,25.1,"$50,000 - $74,999"
Arizona,2011,20.7,"$35,000 - $49,999"
Arizona,2011,32.3,"$15,000 - $24,999"
Arizona,2011,22.6,65-100
Arizona,2011,29.9,55 - 64
Arizona,2011,29.6,45 - 54
Arizona,2011,25.4,35 - 44
Arizona,2011,23.6,25 - 34
Arizona,2011,18.7,18 - 24
Arizona,2011,25.8,Female
Arizona,2011,24.4,Male
Arizona,2014,34.9,45 - 54
Arizona,2013,33.7,"$15,000 - $24,999"
Arizona,2011,21.2,Non-Hispanic White
Arizona,2013,26.5,Male
Arizona,2011,34.1,"Less than $15,000"
Arizona,2012,30.3,55 - 64
Arizona,2013,32.4,"Less than $15,000"
Arizona,2013,23.2,65-100
Arizona,2013,30.4,55 - 64
Arizona,2013,34.6,45 - 54
Arizona,2013,27.6,35 - 44
Arizona,2013,29.6,25 - 34
Arizona,2013,27.1,Female
Arizona,2012,27.2,Other
Arizona,2012,31.6,2 or more races
Arizona,2012,45.8,American Indian/Alaska Native
Arizona,2012,DNE,Hawaiian/Pacific Islander
Arizona,2012,4.3,Asian
Arizona,2012,25.9,"$25,000 - $34,999"
Arizona,2012,22.6,65-100
Arizona,2012,31.1,"Less than $15,000"
Arizona,2013,13.4,18 - 24
Arizona,2012,29.1,"$15,000 - $24,999"
Arizona,2012,30.9,Hispanic
Arizona,2012,26.2,"$35,000 - $49,999"
Arizona,2012,28.1,"$50,000 - $74,999"
Arizona,2012,21.6,"$75,000 or greater"
Arizona,2012,22.4,Data not reported
Arizona,2012,23.1,Non-Hispanic White
Arizona,2012,35.4,Non-Hispanic Black
Arkansas,2014,42.8,"Less than $15,000"
Arkansas,2014,DNE,Hawaiian/Pacific Islander
Arkansas,2014,DNE,Asian
Arkansas,2014,35.2,Hispanic
Arkansas,2014,45.1,Non-Hispanic Black
Arkansas,2014,34,Non-Hispanic White
Arkansas,2014,34.6,Data not reported
Arkansas,2014,33.6,"$75,000 or greater"
Arkansas,2014,36.7,"$50,000 - $74,999"
Arkansas,2014,31.9,"$35,000 - $49,999"
Arkansas,2014,36,"$25,000 - $34,999"
Arkansas,2014,39.3,55 - 64
Arkansas,2014,36,Female
Arkansas,2015,40.4,Non-Hispanic Black
Arkansas,2014,39.6,25 - 34
Arkansas,2014,29.2,65-100
Arkansas,2014,38,35 - 44
Arkansas,2014,35.8,Male
Arkansas,2014,43.9,45 - 54
Arkansas,2014,23.9,18 - 24
Arkansas,2014,45.7,American Indian/Alaska Native
Arkansas,2015,32.5,"$25,000 - $34,999"
Arkansas,2014,36.5,"$15,000 - $24,999"
Arkansas,2015,DNE,Hawaiian/Pacific Islander
Arkansas,2015,29.8,65-100
Arkansas,2015,20.7,18 - 24
Arkansas,2015,33.7,25 - 34
Arkansas,2015,38.8,55 - 64
Arkansas,2015,33.9,Female
Arkansas,2013,20.3,American Indian/Alaska Native
Arkansas,2013,33.9,2 or more races
Arkansas,2015,35.1,Male
Arkansas,2015,42.5,2 or more races
Arkansas,2015,29.2,American Indian/Alaska Native
Arkansas,2015,DNE,Other
Arkansas,2014,53.6,2 or more races
Arkansas,2015,DNE,Asian
Arkansas,2015,43.8,"Less than $15,000"
Arkansas,2015,37.3,"$35,000 - $49,999"
Arkansas,2015,39.9,35 - 44
Arkansas,2015,32.4,Hispanic
Arkansas,2015,42.2,45 - 54
Arkansas,2015,36.7,"$50,000 - $74,999"
Arkansas,2015,32.6,"$15,000 - $24,999"
Arkansas,2014,DNE,Other
Arkansas,2015,33.4,Non-Hispanic White
Arkansas,2013,DNE,Other
Arkansas,2012,25.9,65-100
Arkansas,2012,37.2,55 - 64
Arkansas,2011,23,18 - 24
Arkansas,2011,31.2,Female
Arkansas,2011,30.7,Male
Arkansas,2015,31.7,Data not reported
Arkansas,2011,DNE,Other
Arkansas,2011,36.9,55 - 64
Arkansas,2011,32.9,35 - 44
Arkansas,2013,35.2,Male
Arkansas,2012,34,Male
Arkansas,2011,33.8,"Less than $15,000"
Arkansas,2012,35.1,Female
Arkansas,2012,33.7,25 - 34
Arkansas,2012,43.4,35 - 44
Arkansas,2012,40.4,45 - 54
Arkansas,2015,30,"$75,000 or greater"
Arkansas,2011,18.4,Hispanic
Arkansas,2011,30.4,"$15,000 - $24,999"
Arkansas,2011,37.2,"$25,000 - $34,999"
Arkansas,2011,31.7,"$35,000 - $49,999"
Arkansas,2011,30.6,"$50,000 - $74,999"
Arkansas,2011,27.8,"$75,000 or greater"
Arkansas,2011,24.9,Data not reported
Arkansas,2011,29.3,25 - 34
Arkansas,2011,38.1,Non-Hispanic Black
Arkansas,2012,27.1,18 - 24
Arkansas,2011,DNE,Asian
Arkansas,2013,34.1,Female
Arkansas,2011,DNE,Hawaiian/Pacific Islander
Arkansas,2011,19.3,American Indian/Alaska Native
Arkansas,2011,26.4,2 or more races
Arkansas,2011,26.1,65-100
Arkansas,2011,36.4,45 - 54
Arkansas,2011,31,Non-Hispanic White
Arkansas,2013,34.3,"$25,000 - $34,999"
Arkansas,2012,DNE,Hawaiian/Pacific Islander
Arkansas,2012,33,2 or more races
Arkansas,2012,DNE,Other
Arkansas,2013,34.2,25 - 34
Arkansas,2013,42.1,35 - 44
Arkansas,2013,37.9,45 - 54
Arkansas,2013,38.5,55 - 64
Arkansas,2013,26.4,65-100
Arkansas,2012,37.6,"Less than $15,000"
Arkansas,2013,35.3,"$15,000 - $24,999"
Arkansas,2012,DNE,Asian
Arkansas,2013,34.6,"$35,000 - $49,999"
Arkansas,2013,33,"$50,000 - $74,999"
Arkansas,2013,28.2,"$75,000 or greater"
Arkansas,2013,35.2,Data not reported
Arkansas,2013,32.3,Non-Hispanic White
Arkansas,2013,46.2,Non-Hispanic Black
Arkansas,2013,42.5,Hispanic
Arkansas,2013,DNE,Asian
Arkansas,2013,DNE,Hawaiian/Pacific Islander
Arkansas,2013,41.5,"Less than $15,000"
Arkansas,2012,41.9,Non-Hispanic Black
Arkansas,2012,38.5,"$15,000 - $24,999"
Arkansas,2012,32.6,Non-Hispanic White
Arkansas,2012,30.2,Data not reported
Arkansas,2012,30,"$75,000 or greater"
Arkansas,2012,29.2,"$25,000 - $34,999"
Arkansas,2012,36,"$35,000 - $49,999"
Arkansas,2012,41,Hispanic
Arkansas,2012,37.9,"$50,000 - $74,999"
Arkansas,2012,46,American Indian/Alaska Native
Arkansas,2013,29.6,18 - 24
California,2014,32.3,Hispanic
California,2014,24,"$35,000 - $49,999"
California,2014,22.7,"$50,000 - $74,999"
California,2015,25.4,"$50,000 - $74,999"
California,2014,20.9,Data not reported
California,2014,32.7,Non-Hispanic Black
California,2014,8.9,Asian
California,2014,DNE,Hawaiian/Pacific Islander
California,2014,32.1,American Indian/Alaska Native
California,2014,28.6,2 or more races
California,2014,22.7,Other
California,2014,22.3,"$75,000 or greater"
California,2014,22.7,Non-Hispanic White
California,2012,27,"$50,000 - $74,999"
California,2014,26.6,"$25,000 - $34,999"
California,2015,27.7,45 - 54
California,2015,13.6,18 - 24
California,2015,22.8,65-100
California,2015,25.1,25 - 34
California,2015,26.1,55 - 64
California,2015,27.5,35 - 44
California,2015,23.7,Female
California,2015,24.6,Male
California,2015,28.5,"$15,000 - $24,999"
California,2015,19.6,Data not reported
California,2015,31.3,Hispanic
California,2015,27.4,"$35,000 - $49,999"
California,2015,29.5,"Less than $15,000"
California,2015,30.2,"$25,000 - $34,999"
California,2015,DNE,Hawaiian/Pacific Islander
California,2015,10.1,Asian
California,2015,22.2,Non-Hispanic White
California,2015,24.3,Other
California,2015,26,American Indian/Alaska Native
California,2015,26.6,2 or more races
California,2015,30.8,Non-Hispanic Black
California,2015,19.1,"$75,000 or greater"
California,2012,30.2,"$15,000 - $24,999"
California,2011,26.9,2 or more races
California,2011,DNE,Other
California,2012,26.2,Male
California,2012,12.2,18 - 24
California,2012,23.2,25 - 34
California,2012,28.7,35 - 44
California,2012,31.3,45 - 54
California,2012,30.6,55 - 64
California,2012,17.6,American Indian/Alaska Native
California,2012,29.9,"Less than $15,000"
California,2011,8.1,Asian
California,2012,28.7,"$25,000 - $34,999"
California,2012,23.4,"$35,000 - $49,999"
California,2012,16.8,Data not reported
California,2012,23.3,Non-Hispanic White
California,2014,27.4,"$15,000 - $24,999"
California,2012,31.1,Hispanic
California,2012,10.3,Asian
California,2012,31.4,Hawaiian/Pacific Islander
California,2012,21.1,65-100
California,2011,30.1,"$15,000 - $24,999"
California,2011,27.6,55 - 64
California,2012,23.8,Female
California,2011,23.1,Male
California,2011,24.5,Female
California,2011,14.5,18 - 24
California,2011,23.7,25 - 34
California,2011,25.9,35 - 44
California,2011,27.6,45 - 54
California,2011,37.3,American Indian/Alaska Native
California,2011,29.9,"Less than $15,000"
California,2011,23.2,Hawaiian/Pacific Islander
California,2011,27.2,"$25,000 - $34,999"
California,2011,22.1,"$35,000 - $49,999"
California,2011,24.3,"$50,000 - $74,999"
California,2011,17.7,"$75,000 or greater"
California,2011,17.5,Data not reported
California,2011,22,Non-Hispanic White
California,2011,33.1,Non-Hispanic Black
California,2011,30.3,Hispanic
California,2012,36.6,Non-Hispanic Black
California,2011,21.2,65-100
California,2013,33.8,2 or more races
California,2013,25.4,"$35,000 - $49,999"
California,2013,25.8,"$50,000 - $74,999"
California,2013,17,Data not reported
California,2014,30,"Less than $15,000"
California,2013,34.8,Non-Hispanic Black
California,2013,30.6,Hispanic
California,2013,9.3,Asian
California,2013,DNE,Hawaiian/Pacific Islander
California,2013,38.6,American Indian/Alaska Native
California,2013,25.6,"$25,000 - $34,999"
California,2012,20.1,"$75,000 or greater"
California,2013,19.5,"$75,000 or greater"
California,2013,DNE,Other
California,2014,24,Male
California,2014,25.4,Female
California,2014,13.3,18 - 24
California,2014,23.7,25 - 34
California,2014,28.1,35 - 44
California,2014,26.9,45 - 54
California,2014,29.8,55 - 64
California,2014,24.1,65-100
California,2012,28.8,2 or more races
California,2013,25.1,Male
California,2013,21.8,Non-Hispanic White
California,2013,27.4,"$15,000 - $24,999"
California,2013,23.1,Female
California,2013,12.2,18 - 24
California,2013,23,25 - 34
California,2013,26.7,35 - 44
California,2013,28.3,45 - 54
California,2012,DNE,Other
California,2013,30.3,55 - 64
California,2013,22,65-100
California,2013,29.7,"Less than $15,000"
Colorado,2011,23,2 or more races
Colorado,2011,7.7,Asian
Colorado,2012,22,"$35,000 - $49,999"
Colorado,2012,22.2,"$25,000 - $34,999"
Colorado,2012,19.3,"$75,000 or greater"
Colorado,2014,24.2,"$35,000 - $49,999"
Colorado,2012,22.2,"$15,000 - $24,999"
Colorado,2012,23.7,"Less than $15,000"
Colorado,2012,19.6,"$50,000 - $74,999"
Colorado,2012,19.6,65-100
Colorado,2012,23.6,55 - 64
Colorado,2011,DNE,Hawaiian/Pacific Islander
Colorado,2012,25.5,45 - 54
Colorado,2012,23.4,35 - 44
Colorado,2011,23.5,Other
Colorado,2013,24.9,55 - 64
Colorado,2012,21.1,Male
Colorado,2012,16.6,25 - 34
Colorado,2012,11.8,18 - 24
Colorado,2012,19.8,Female
Colorado,2015,18.7,Non-Hispanic White
Colorado,2011,30.7,American Indian/Alaska Native
Colorado,2015,17.3,25 - 34
Colorado,2015,23.7,"$25,000 - $34,999"
Colorado,2015,22.5,"$15,000 - $24,999"
Colorado,2015,21.9,"$50,000 - $74,999"
Colorado,2015,21.5,"$35,000 - $49,999"
Colorado,2015,18.2,Data not reported
Colorado,2015,17.4,"$75,000 or greater"
Colorado,2015,20.2,Male
Colorado,2015,20.2,Female
Colorado,2015,15.3,Other
Colorado,2015,20,65-100
Colorado,2015,24.1,45 - 54
Colorado,2015,11.2,18 - 24
Colorado,2015,27.9,2 or more races
Colorado,2015,27.6,Hispanic
Colorado,2015,23.2,Non-Hispanic Black
Colorado,2015,17.5,American Indian/Alaska Native
Colorado,2015,8.3,Asian
Colorado,2015,DNE,Hawaiian/Pacific Islander
Colorado,2015,24.5,"Less than $15,000"
Colorado,2015,24.1,55 - 64
Colorado,2015,22.5,35 - 44
Colorado,2014,27.1,"Less than $15,000"
Colorado,2014,37.6,American Indian/Alaska Native
Colorado,2014,DNE,Hawaiian/Pacific Islander
Colorado,2014,30.5,Non-Hispanic Black
Colorado,2014,19.9,Non-Hispanic White
Colorado,2014,16.3,Data not reported
Colorado,2014,18.8,"$75,000 or greater"
Colorado,2014,26.8,Hispanic
Colorado,2014,24.3,"$25,000 - $34,999"
Colorado,2011,21.1,Male
Colorado,2014,20.5,65-100
Colorado,2014,24.7,45 - 54
Colorado,2014,19.4,Other
Colorado,2014,18.7,25 - 34
Colorado,2014,10.9,18 - 24
Colorado,2014,20.7,Female
Colorado,2014,21.9,Male
Colorado,2014,22.2,"$50,000 - $74,999"
Colorado,2011,26.5,Hispanic
Colorado,2011,25.9,"Less than $15,000"
Colorado,2011,24.2,"$15,000 - $24,999"
Colorado,2011,23.7,"$25,000 - $34,999"
Colorado,2011,21.3,"$35,000 - $49,999"
Colorado,2011,19.5,"$50,000 - $74,999"
Colorado,2011,18.3,"$75,000 or greater"
Colorado,2011,17.5,Data not reported
Colorado,2014,18.2,2 or more races
Colorado,2011,34.2,Non-Hispanic Black
Colorado,2011,20.3,Female
Colorado,2011,20.2,65-100
Colorado,2011,24.2,55 - 64
Colorado,2011,24.2,45 - 54
Colorado,2011,22.7,35 - 44
Colorado,2011,19.3,25 - 34
Colorado,2011,10.2,18 - 24
Colorado,2014,24.1,35 - 44
Colorado,2011,18.9,Non-Hispanic White
Colorado,2013,20.8,Male
Colorado,2013,21.8,"$35,000 - $49,999"
Colorado,2013,23.7,"$15,000 - $24,999"
Colorado,2014,26.1,55 - 64
Colorado,2013,18.6,65-100
Colorado,2013,24.6,45 - 54
Colorado,2013,24.5,35 - 44
Colorado,2013,20.8,25 - 34
Colorado,2013,22.3,"$50,000 - $74,999"
Colorado,2013,21.8,Female
Colorado,2013,23.3,"$25,000 - $34,999"
Colorado,2012,31.7,Other
Colorado,2012,19,2 or more races
Colorado,2012,28.6,American Indian/Alaska Native
Colorado,2012,DNE,Hawaiian/Pacific Islander
Colorado,2012,9.2,Asian
Colorado,2012,26.9,Hispanic
Colorado,2012,28.2,Non-Hispanic Black
Colorado,2012,18.7,Non-Hispanic White
Colorado,2013,11.3,18 - 24
Colorado,2014,23.5,"$15,000 - $24,999"
Colorado,2012,16.9,Data not reported
Colorado,2013,28.2,"Less than $15,000"
Colorado,2013,DNE,Other
Colorado,2013,18,"$75,000 or greater"
Colorado,2013,23.2,2 or more races
Colorado,2013,23,American Indian/Alaska Native
Colorado,2013,DNE,Hawaiian/Pacific Islander
Colorado,2013,9.8,Asian
Colorado,2013,29.5,Non-Hispanic Black
Colorado,2013,18.7,Non-Hispanic White
Colorado,2013,19.6,Data not reported
Colorado,2013,30.5,Hispanic
Colorado,2014,8.7,Asian
Connecticut,2013,24.4,Female
Connecticut,2015,25.2,"$50,000 - $74,999"
Connecticut,2015,22.6,"$75,000 or greater"
Connecticut,2015,19.3,Data not reported
Connecticut,2015,26.6,Male
Connecticut,2015,23.9,Female
Connecticut,2015,26.4,25 - 34
Connecticut,2015,26,35 - 44
Connecticut,2015,25.5,65-100
Connecticut,2015,11.2,18 - 24
Connecticut,2012,DNE,American Indian/Alaska Native
Connecticut,2013,25.5,Male
Connecticut,2012,5.6,Asian
Connecticut,2012,32.2,Hispanic
Connecticut,2012,34.3,Non-Hispanic Black
Connecticut,2015,27.7,"$35,000 - $49,999"
Connecticut,2012,24.1,Non-Hispanic White
Connecticut,2012,44.2,2 or more races
Connecticut,2012,DNE,Hawaiian/Pacific Islander
Connecticut,2012,24.4,Other
Connecticut,2012,27.3,"$35,000 - $49,999"
